타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,25,3,11,9,9,9
m,25,3,12,7,7,7
m,25,3,13,7,7,7
m,25,3,14,5,5,5
m,25,3,15,12,12,12
m,25,3,16,9,9,9
m,25,3,17,7,7,7
m,25,3,18,14,14,14
m,25,3,19,6,6,6
m,25,3,20,12,12,12
m,25,3,21,5,5,5
m,25,3,22,6,6,6
m,25,3,23,10,10,10
m,25,3,24,44,44,44
m,25,3,25,2390,2390,2390
m,25,4,1,1,1,1
m,25,4,2,2,2,2
m,25,4,3,15,15,15
m,25,4,4,11,11,11
m,25,4,5,6,6,6
m,25,4,6,5,5,5
m,25,4,7,6,6,6
m,25,4,8,10,10,10
m,25,4,9,9,9,9
m,25,4,10,12,12,12
m,25,4,11,8,8,8
m,25,4,12,3,3,3
m,25,4,13,10,10,10
m,25,4,14,7,7,7
m,25,4,15,3,3,3
m,25,4,16,3,3,3
m,25,4,17,7,7,7
m,25,4,18,5,5,5
m,25,4,19,7,7,7
m,25,4,20,8,8,8
m,25,4,21,7,7,7
m,25,4,22,10,10,10
m,25,4,23,11,11,11
m,25,4,24,39,39,39
m,25,4,25,2272,2272,2272
m,25,5,1,6,6,6
m,25,5,2,3,3,3
m,25,5,3,14,14,14
m,25,5,4,14,14,14
m,25,5,5,10,10,10
m,25,5,6,1,1,1
m,25,5,7,4,4,4
m,25,5,8,5,5,5
m,25,5,9,7,7,7
m,25,5,10,4,4,4
m,25,5,11,6,6,6
m,25,5,12,9,9,9
m,25,5,13,13,13,13
m,25,5,14,6,6,6
m,25,5,15,6,6,6
m,25,5,16,4,4,4
m,25,5,17,6,6,6
m,25,5,18,2,2,2
m,25,5,19,4,4,4
m,25,5,20,5,5,5
m,25,5,21,9,9,9
m,25,5,22,8,8,8
m,25,5,23,20,20,20
m,25,5,24,62,62,62
m,25,5,25,2330,2330,2330
m,25,6,1,3,3,3
m,25,6,2,2,2,2
m,25,6,3,14,14,14
m,25,6,4,9,9,9
m,25,6,5,5,5,5
m,25,6,6,6,6,6
m,25,6,7,5,5,5
m,25,6,8,11,11,11
m,25,6,9,9,9,9
m,25,6,10,6,6,6
m,25,6,11,7,7,7
m,25,6,12,7,7,7
m,25,6,13,10,10,10
m,25,6,14,5,5,5
m,25,6,15,5,5,5
m,25,6,16,8,8,8
m,25,6,17,13,13,13
m,25,6,18,5,5,5
m,25,6,19,8,8,8
m,25,6,20,6,6,6
m,25,6,21,9,9,9
m,25,6,22,10,10,10
m,25,6,23,11,11,11
m,25,6,24,68,68,68
m,25,6,25,2214,2214,2214
m,25,7,1,1,1,1
m,25,7,2,6,6,6
m,25,7,3,19,19,19
m,25,7,4,12,12,12
m,25,7,5,8,8,8
m,25,7,6,4,4,4
m,25,7,7,8,8,8
m,25,7,8,11,11,11
m,25,7,9,8,8,8
m,25,7,10,5,5,5
m,25,7,11,6,6,6
m,25,7,12,5,5,5
m,25,7,13,14,14,14
m,25,7,14,9,9,9
m,25,7,15,5,5,5
m,25,7,16,9,9,9
m,25,7,17,5,5,5
m,25,7,18,9,9,9
m,25,7,19,6,6,6
m,25,7,20,8,8,8
m,25,7,21,3,3,3
m,25,7,22,10,10,10
m,25,7,23,20,20,20
m,25,7,24,80,80,80
m,25,7,25,2299,2299,2299
m,25,8,2,5,5,5
m,25,8,3,14,14,14
m,25,8,4,8,8,8
m,25,8,5,7,7,7
m,25,8,6,4,4,4
m,25,8,7,1,1,1
m,25,8,8,7,7,7
m,25,8,9,7,7,7
m,25,8,10,9,9,9
m,25,8,11,8,8,8
m,25,8,12,8,8,8
m,25,8,13,6,6,6
m,25,8,14,12,12,12
m,25,8,15,6,6,6
m,25,8,16,8,8,8
m,25,8,17,8,8,8
m,25,8,18,9,9,9
m,25,8,19,6,6,6
m,25,8,20,14,14,14
m,25,8,21,11,11,11
m,25,8,22,9,9,9
m,25,8,23,22,22,22
m,25,8,24,73,73,73
m,25,8,25,2246,2246,2246
m,25,9,1,2,2,2
m,25,9,2,7,7,7
m,25,9,3,14,14,14
m,25,9,4,13,13,13
m,25,9,5,8,8,8
m,25,9,6,5,5,5
m,25,9,7,6,6,6
m,25,9,8,8,8,8
m,25,9,9,8,8,8
m,25,9,10,10,10,10
m,25,9,11,5,5,5
m,25,9,12,4,4,4
m,25,9,13,9,9,9
m,25,9,14,4,4,4
m,25,9,15,3,3,3
m,25,9,16,7,7,7
m,25,9,17,11,11,11
m,25,9,18,10,10,10
m,25,9,19,6,6,6
m,25,9,20,15,15,15
m,25,9,21,10,10,10
m,25,9,22,8,8,8
m,25,9,23,16,16,16
m,25,9,24,96,96,96
m,25,9,25,2103,2103,2103
m,25,10,1,3,3,3
m,25,10,2,5,5,5
m,25,10,3,28,28,28
m,25,10,4,12,12,12
m,25,10,5,10,10,10
m,25,10,6,9,9,9
m,25,10,7,6,6,6
m,25,10,8,8,8,8
m,25,10,9,8,8,8
m,25,10,10,11,11,11
m,25,10,11,7,7,7
m,25,10,12,7,7,7
m,25,10,13,13,13,13
m,25,10,14,7,7,7
m,25,10,15,12,12,12
m,25,10,16,9,9,9
m,25,10,17,10,10,10
m,25,10,18,11,11,11
m,25,10,19,7,7,7
m,25,10,20,13,13,13
m,25,10,21,8,8,8
m,25,10,22,19,19,19
m,25,10,23,30,30,30
